model,hidden_dim,auc_pr,auc_roc,best_thr,best_f1,best_precision,best_recall
gat,64,0.8495918404919433,0.9940942611201086,0.98,0.8370044002243398,0.8796296295481825,0.7983193276640068
gat,32,0.8416217427970785,0.9819138917527833,0.99,0.8142292439650676,0.768656716360548,0.8655462184146601
sage,128,0.8713153747266486,0.9866679099875009,1.0,0.727272722566845,0.9999999998529413,0.5714285713805523
gat,128,0.6829031922679887,0.9791989337190714,0.99,0.7048458099276137,0.7407407406721537,0.672268907506532
sage,64,0.862446670699981,0.9955538299684384,0.99,0.6891891843345965,0.5762711864081203,0.8571428570708284
sage,32,0.736883322307182,0.9383452143444423,1.0,0.6477272682741477,0.9999999998245613,0.47899159659840407
